"";"X";"V1"
"1";1;3
"2";2;0
"3";3;0
"4";4;0
"5";5;2
"6";6;2
"7";7;2
"8";8;1
"9";9;2
"10";10;2
"11";11;3
"12";12;2
"13";13;0
"14";14;0
"15";15;3
"16";16;0
"17";17;1
"18";18;0
"19";19;3
"20";20;0
"21";21;2
"22";22;2
"23";23;0
"24";24;1
"25";25;2
"26";26;3
"27";27;3
"28";28;3
"29";29;3
"30";30;3
"31";31;0
"32";32;3
"33";33;2
"34";34;3
"35";35;3
"36";36;3
"37";37;3
"38";38;3
"39";39;3
"40";40;3
"41";41;0
"42";42;0
"43";43;0
"44";44;3
"45";45;0
"46";46;2
"47";47;0
"48";48;3
"49";49;3
"50";50;3
"51";51;0
"52";52;3
"53";53;3
"54";54;3
"55";55;3
"56";56;3
"57";57;3
"58";58;3
"59";59;3
"60";60;3
"61";61;3
"62";62;3
"63";63;2
"64";64;2
"65";65;0
"66";66;2
"67";67;2
"68";68;1
"69";69;0
"70";70;1
"71";71;1
"72";72;1
"73";73;1
"74";74;1
"75";75;1
"76";76;1
"77";77;1
"78";78;1
"79";79;1
"80";80;1
"81";81;1
"82";82;1
"83";83;1
"84";84;2
"85";85;1
"86";86;1
"87";87;1
"88";88;2
"89";89;1
"90";90;1
"91";91;1
"92";92;1
"93";93;1
"94";94;1
"95";95;2
"96";96;1
"97";97;1
"98";98;1
"99";99;2
"100";100;1
"101";101;1
"102";102;1
"103";103;1
"104";104;1
"105";105;1
"106";106;1
"107";107;1
"108";108;1
"109";109;1
"110";110;1
"111";111;3
"112";112;3
"113";113;3
"114";114;1
"115";115;3
"116";116;1
"117";117;3
"118";118;1
"119";119;1
"120";120;1
"121";121;0
"122";122;1
"123";123;1
"124";124;3
"125";125;2
"126";126;2
"127";127;3
"128";128;3
"129";129;3
"130";130;3
"131";131;3
"132";132;2
"133";133;1
"134";134;1
"135";135;1
"136";136;0
"137";137;2
"138";138;1
"139";139;0
"140";140;2
"141";141;0
"142";142;1
"143";143;2
"144";144;0
"145";145;0
"146";146;0
"147";147;0
"148";148;0
"149";149;0
"150";150;2
"151";151;0
"152";152;2
"153";153;0
"154";154;0
"155";155;0
"156";156;0
"157";157;1
"158";158;0
"159";159;1
"160";160;0
"161";161;0
"162";162;0
"163";163;2
"164";164;2
"165";165;2
"166";166;2
"167";167;2
"168";168;0
"169";169;3
"170";170;3
"171";171;3
"172";172;3
"173";173;3
"174";174;3
"175";175;3
"176";176;3
"177";177;3
"178";178;3
"179";179;3
"180";180;1
"181";181;2
"182";182;1
"183";183;0
"184";184;0
"185";185;3
"186";186;3
"187";187;3
"188";188;0
"189";189;2
"190";190;2
"191";191;0
"192";192;2
"193";193;3
"194";194;3
"195";195;3
"196";196;3
"197";197;3
"198";198;2
"199";199;3
"200";200;2
"201";201;3
"202";202;3
"203";203;3
"204";204;3
"205";205;3
"206";206;3
"207";207;0
"208";208;3
"209";209;3
"210";210;3
"211";211;1
"212";212;1
"213";213;1
"214";214;1
"215";215;0
"216";216;0
"217";217;0
"218";218;1
"219";219;1
"220";220;1
"221";221;0
"222";222;0
"223";223;2
"224";224;0
"225";225;0
"226";226;1
"227";227;0
"228";228;0
"229";229;1
"230";230;3
"231";231;1
"232";232;1
"233";233;0
"234";234;3
"235";235;0
"236";236;1
"237";237;3
"238";238;3
"239";239;1
"240";240;2
"241";241;1
"242";242;1
"243";243;1
"244";244;2
"245";245;1
"246";246;1
"247";247;0
"248";248;2
"249";249;1
"250";250;1
"251";251;1
"252";252;1
"253";253;1
"254";254;1
"255";255;1
"256";256;1
"257";257;1
"258";258;1
"259";259;1
"260";260;1
"261";261;1
"262";262;1
"263";263;1
"264";264;1
"265";265;3
"266";266;3
"267";267;1
"268";268;2
"269";269;2
"270";270;2
"271";271;3
"272";272;1
"273";273;0
"274";274;2
"275";275;0
"276";276;2
"277";277;2
"278";278;2
"279";279;2
"280";280;2
"281";281;0
"282";282;0
"283";283;2
"284";284;2
"285";285;2
"286";286;2
"287";287;2
"288";288;2
"289";289;2
"290";290;2
"291";291;2
"292";292;2
"293";293;2
"294";294;2
"295";295;2
"296";296;2
"297";297;2
"298";298;0
"299";299;0
"300";300;2
"301";301;2
"302";302;2
"303";303;2
"304";304;2
"305";305;1
"306";306;1
"307";307;1
"308";308;1
"309";309;2
"310";310;3
"311";311;0
"312";312;3
"313";313;1
"314";314;2
"315";315;1
"316";316;1
"317";317;1
"318";318;3
"319";319;1
"320";320;3
"321";321;1
"322";322;2
"323";323;3
"324";324;3
"325";325;3
"326";326;3
"327";327;3
"328";328;3
"329";329;2
"330";330;3
"331";331;2
"332";332;1
"333";333;1
"334";334;2
"335";335;2
"336";336;2
"337";337;2
"338";338;2
"339";339;1
"340";340;3
"341";341;3
"342";342;2
"343";343;3
"344";344;0
"345";345;3
"346";346;3
"347";347;3
"348";348;2
"349";349;2
"350";350;3
"351";351;3
"352";352;3
"353";353;3
"354";354;3
"355";355;3
"356";356;3
"357";357;3
"358";358;3
"359";359;1
"360";360;2
"361";361;3
"362";362;3
"363";363;2
"364";364;1
"365";365;1
"366";366;1
"367";367;3
"368";368;3
"369";369;2
"370";370;2
"371";371;3
"372";372;3
"373";373;1
"374";374;3
"375";375;3
"376";376;3
"377";377;3
"378";378;3
"379";379;3
