"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"ai";0,278692999322916;0,385201239689656;0,586170573270801;0,81018766901958;0,414396662050862;0,585603337949146;0,00176387721275245;0,00336970267698655;0,022709952751105;0,274530253483595;0,00171157783136523
"video";0,989368998771837;-0,745593774100768;0,798615817339396;-0,601841155368531;0,704176083548289;0,295823916451723;0,0195441979973683;0,011099561035375;0,0199664685261393;0,747635540544382;0,0111604353139075
"image";-0,413226511709617;-0,220587133043539;-0,882175891610608;-0,470920052940018;0,825907695988775;0,174092304011227;0,00200399688285883;0,000571059078091196;0,0117360158512422;0,288333229569046;0,000975686015558016
"generate";0,417150676968874;0,0506103864778975;0,992720509223445;0,120440817695431;0,9892290422602;0,0107709577398018;0,0018035358536961;2,65471670358278e-05;0,0103642737387593;0,265960291009919;0,000733115621825558
"person";0,110592511975987;0,356642971661293;0,296179865562798;0,955132183121898;0,115038783843998;0,884961216156005;0,000152860494409848;0,00158968528536849;0,0124980948026216;0,206764443829376;0,000534312740288043
"deepfakes";-1,07648060656394;0,0902366764477243;-0,996505038872963;0,0835326732530089;0,994829098042165;0,00517090195783761;0,0123634712302361;8,68748733947859e-05;0,0106691053193111;0,684390931310722;0,004997312342665
"create";0,0155929814465065;0,314444612568413;0,0495281013995082;0,998772730490656;0,00331332926305679;0,996686670736946;2,40880499549173e-06;0,000979561337336451;0,00990702636793172;0,171778632025135;0,000292335527713417
"voice";-0,147462482671486;0,550065761623317;-0,258938323746769;0,965893857779007;0,0885526162335932;0,911447383766408;4,64003312206883e-05;0,000645635236936954;0,00213382106386222;0,314233960292736;0,000210699854476085
"content";0,41579207584826;0,792037078269511;0,464809895459922;0,885410504276145;0,271434902588507;0,728565097411495;0,00163370661804126;0,00592806119005175;0,0094497789971041;0,506075879672279;0,00242020932039878
"law";-1,86945813093965;-0,494827338352013;-0,96670896625463;-0,255878437080785;0,950728427076491;0,0492715729235111;0,0282317186826441;0,00197794040898773;0,00807803688462125;1,21579339304383;0,0119405790965033
"deepfake";-1,08505428606231;-0,126766974386514;-0,993244444856279;-0,116040823687795;0,990004362758603;0,00999563724139956;0,0104078467634092;0,000142059475097765;0,00884011583600061;0,691520705681473;0,00422735122853219
"medium";0,0662873858640715;0,537360535799798;0,12242938678176;0,992477226566052;0,0201568537823471;0,979843146217655;4,08527768642327e-05;0,00268467262178598;0,00929736320682823;0,296068221888019;0,00081497331393506
"sora";1,47240989600986;-1,47221927764585;0,707152553732732;-0,707061005677215;0,574870281724604;0,425129718275397;0,0191652907039066;0,0191603287433896;0,00884011583600061;1,23144799062278;0,0134057187790452
"fake";0,293211713591941;1,02071898533891;0,276094338291761;0,961130540750441;0,100358812754148;0,899641187245854;0,000589664670696311;0,00714586589184706;0,00685871056241427;0,586915845070352;0,00236262146224037
"year";-0,865966552112909;-0,279643774551762;-0,951612336917743;-0,307301090505634;0,928385573188769;0,0716144268112334;0,00537192642292044;0,000560193584871386;0,00716354214296601;0,569913837873736;0,00232673125776538
