"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"194";"529";"36.67";"****";""
" 2";"53";" 3.77";"-27.451";"law";"1.610901e-07"
" 7";"70";"10.00";"-24.714";"deepfakes";"6.648862e-07"
" 8";"58";"13.79";"-14.684";"deepfake";"1.271435e-04"
" 3";"36";" 8.33";"-13.359";"victim";"2.572251e-04"
" 2";"29";" 6.90";"-11.714";"legislation";"6.204233e-04"
" 0";"18";" 0.00";"-10.791";"sexually";"1.019913e-03"
" 0";"17";" 0.00";"-10.172";"site";"1.426163e-03"
" 0";"17";" 0.00";"-10.172";"month";"1.426163e-03"
" 1";"21";" 4.76";" -9.589";"bill";"1.957812e-03"
" 0";"16";" 0.00";" -9.555";"act";"1.994425e-03"
" 2";"25";" 8.00";" -9.289";"government";"2.305171e-03"
" 0";"14";" 0.00";" -8.328";"federal";"3.904163e-03"
" 3";"27";"11.11";" -8.005";"digital";"4.664647e-03"
" 1";"18";" 5.56";" -7.769";"harm";"5.314314e-03"
" 3";"26";"11.54";" -7.438";"state";"6.385451e-03"
" 1";"17";" 5.88";" -7.170";"sexual";"7.412117e-03"
" 0";"12";" 0.00";" -7.111";"study";"7.663152e-03"
" 1";"16";" 6.25";" -6.575";"generative";"1.033942e-02"
" 1";"16";" 6.25";" -6.575";"pass";"1.033942e-02"
" 0";"11";" 0.00";" -6.505";"intimate";"1.075460e-02"
" 0";"11";" 0.00";" -6.505";"fine";"1.075460e-02"
" 0";"11";" 0.00";" -6.505";"consent";"1.075460e-02"
" 1";"15";" 6.67";" -5.985";"porn";"1.442698e-02"
" 1";"15";" 6.67";" -5.985";"action";"1.442698e-02"
" 0";"10";" 0.00";" -5.903";"nude";"1.511833e-02"
" 0";"10";" 0.00";" -5.903";"consensual";"1.511833e-02"
" 4";"27";"14.81";" -5.853";"explicit";"1.554708e-02"
" 2";"19";"10.53";" -5.801";"school";"1.601302e-02"
" 1";"14";" 7.14";" -5.400";"story";"2.013995e-02"
" 1";"14";" 7.14";" -5.400";"protect";"2.013995e-02"
" 1";"14";" 7.14";" -5.400";"parent";"2.013995e-02"
" 0";" 9";" 0.00";" -5.302";"election";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"mordaunt";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"replica";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"end";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"numb";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"mislead";"2.129916e-02"
" 0";" 9";" 0.00";" -5.302";"challenge";"2.129916e-02"
"10";"47";"21.28";" -5.265";"year";"2.175695e-02"
" 3";"22";"13.64";" -5.245";"find";"2.200586e-02"
" 3";"22";"13.64";" -5.245";"tech";"2.200586e-02"
" 2";"18";"11.11";" -5.243";"child";"2.203876e-02"
" 9";"43";"20.93";" -4.995";"platform";"2.542444e-02"
" 1";"13";" 7.69";" -4.820";"spread";"2.813431e-02"
" 0";" 8";" 0.00";" -4.704";"risk";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"teenager";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"piece";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"political";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"exist";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"congress";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"uk";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"prison";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"harmful";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"brook";"3.009297e-02"
" 0";" 8";" 0.00";" -4.704";"abuse";"3.009297e-02"
"10";"45";"22.22";" -4.423";"fake";"3.546797e-02"
" 1";"12";" 8.33";" -4.246";"website";"3.933843e-02"
" 1";"12";" 8.33";" -4.246";"watch";"3.933843e-02"
" 1";"12";" 8.33";" -4.246";"increase";"3.933843e-02"
" 2";"16";"12.50";" -4.151";"misinformation";"4.160282e-02"
" 0";" 7";" 0.00";" -4.108";"police";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"musk";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"standard";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"pornographic";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"internet";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"aim";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"penalty";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"lawsuit";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"korean";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"effort";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"develop";"4.267849e-02"
" 0";" 7";" 0.00";" -4.108";"center";"4.267849e-02"
" 8";"37";"21.62";" -3.881";"share";"4.884478e-02"
" 1";"11";" 9.09";" -3.680";"information";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"system";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"remove";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"kid";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"security";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"play";"5.507194e-02"
" 1";"11";" 9.09";" -3.680";"crime";"5.507194e-02"
" 0";" 6";" 0.00";" -3.514";"sound";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"large";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"korea";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"ban";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"synthetic";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"minister";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"legal";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"firm";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"tackle";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"publish";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"neely";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"girl";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"digitally";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"detect";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"court";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"amendment";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"survey";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"scottish";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"nonconsensual";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"host";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"deceptive";"6.083442e-02"
" 0";" 6";" 0.00";" -3.514";"cybersecurity";"6.083442e-02"
"16";"61";"26.23";" -3.238";"medium";"7.194305e-02"
" 1";"10";"10.00";" -3.122";"grow";"7.722049e-02"
" 1";"10";"10.00";" -3.122";"age";"7.722049e-02"
" 1";"10";"10.00";" -3.122";"involve";"7.722049e-02"
" 0";" 5";" 0.00";" -2.923";"reuters";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"measure";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"elon";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"consumer";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"young";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"worry";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"teach";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"percent";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"offence";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"application";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"unauthorized";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"teacher";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"newsguard";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"lady";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"enact";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"violate";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"telegram";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"space";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"scotland";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"monday";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"hear";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"global";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"educate";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"dollar";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"citizen";"8.731718e-02"
" 0";" 5";" 0.00";" -2.923";"check";"8.731718e-02"
" 7";"31";"22.58";" -2.816";"online";"9.333425e-02"
" 2";"13";"15.38";" -2.601";"million";"1.068133e-01"
" 1";" 9";"11.11";" -2.576";"address";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"ad";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"policy";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"july";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"hard";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"individual";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"house";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"student";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"president";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"note";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"interview";"1.084961e-01"
" 1";" 9";"11.11";" -2.576";"getty";"1.084961e-01"
" 0";" 4";" 0.00";" -2.334";"program";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"advertisement";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"language";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"investigation";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"bipartisan";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"wednesday";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"urge";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"suffer";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"serve";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"seoul";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"lawmaker";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"jersey";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"humiliate";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"criminal";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"brewster";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"berry";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"thursday";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"sophie";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"solution";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"sense";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"reputation";"1.265708e-01"
" 0";" 4";" 0.00";" -2.334";"regulator";"1.265708e-01"
