"";"classe 1";"classe 2";"classe 3"
"ai";-0,867;12,338;-6,32
"video";80,624;-8,789;-39,942
"image";-1,796;-3,355;10,189
"generate";1,199;0,672;-3,759
"person";-1,599;3,875;-0,415
"deepfakes";-24,714;-1,701;41,113
"create";-1,767;1,928;0
"voice";-1,439;0,945;0,076
"content";-1,765;16,216;-6,828
"law";-27,451;-20,415;97,343
"deepfake";-14,684;-4,412;36,304
"medium";-3,238;5,668;-0,25
"sora";89,321;-17,696;-31,115
"fake";-4,423;16,485;-3,415
"year";-5,265;-4,713;20,349
"real";0;5,366;-5,244
"openai";73,428;-19,044;-20,374
"company";0;6,412;-6,318
"social";0,465;0,061;-0,896
"news";-0,03;6,131;-5,156
"platform";-4,995;0,843;1,945
"state";-7,438;-0,213;10,667
"report";-1,891;-1,025;5,847
"tool";0,739;7,701;-13,179
"include";-0,826;-0,829;3,374
"share";-3,881;-0,829;8,586
"victim";-13,359;-5,289;36,481
"technology";1,169;-0,229;-0,411
"online";-2,816;3,086;0
"user";12,293;-2,39;-4,342
"likeness";18,174;-7,448;-2,869
"account";9,941;-1,176;-4,736
"call";0,153;0,151;-0,621
"face";0,152;-6,558;4,542
"add";-0,42;1,545;-0,315
"legislation";-11,714;-10,89;46,098
"digital";-8,005;3,91;0,921
"find";-5,245;1,053;1,809
"copyright";4,967;-7,511;0,171
"woman";0,48;-7,986;4,33
"time";11,088;-2,761;-3,197
"tech";-5,245;8,467;-0,268
"intelligence";-0,195;-2,102;3,569
"show";2,323;0,056;-3,253
"google";-0,873;14,834;-8,098
"artificial";0;-2,521;2,535
"app";30,902;-7,986;-8,604
"government";-9,289;-2,761;22,88
"explicit";-5,853;-12,784;36,342
"bill";-9,589;-9,826;39,566
"public";1,128;0,056;-1,762
"post";5,995;-0,529;-3,253
"work";0,36;0,514;-1,762
"school";-5,801;-8,855;29,423
"feature";1,59;0,155;-2,852
"website";-4,246;11,112;-1,376
"request";2,861;0,542;-6,104
"model";0,018;1,43;-1,748
"misinformation";-4,151;19,475;-5,128
"human";-0,029;1,024;-0,68
"friend";8,553;-6,104;-0,325
"clip";17,469;-3,447;-6,104
"site";-10,172;39,092;-8,39
"photo";12,479;-2,253;-4,646
"information";-3,68;13,561;-2,772
"high";0,153;-7,892;5,638
"expert";-2,071;6,663;-1,145
"child";-5,243;-5,641;22,163
"release";13,557;-5,641;-2,089
"realistic";0,132;0,031;-0,301
"day";5,953;-0,202;-4,281
"month";-10,172;0,85;5,638
"harm";-7,769;-0,671;13,559
"business";-1,654;2,911;-0,131
"version";13,557;-1,79;-6,104
"sign";-1,654;-5,047;12,579
"sexually";-10,791;-8,373;39,012
"long";-0,006;-0,04;0,076
"group";-1,439;0,945;0,076
"generative";-6,575;14,931;-1,39
"article";-0,399;6,356;-3,394
"act";-9,555;-4,726;28,456
"write";0,939;0,653;-3,231
"story";-5,4;4,594;0,076
"south";-1,848;-6,936;16,04
"sexual";-7,17;-0,458;11,755
"scam";4,721;0,149;-6,869
"respond";-0,074;-0,136;0,416
"porn";-5,985;-2,253;16,04
"issue";-1,676;1,574;0,009
"feel";7,48;-1,879;-2,139
"claim";-0,406;2,426;-0,781
"celebrity";2,002;0,85;-5,614
"study";-7,111;15,72;-1,376
"sound";-3,514;3,609;0,003
"protect";-5,4;-3,827;18,738
"prompt";4,739;-0,278;-2,964
"police";-4,108;-0,927;9,243
"parent";-5,4;-6,461;24,087
"free";-1,654;9,143;-2,772
"early";-0,006;-3,827;4,049
"base";-0,059;0,653;-0,301
"week";11,511;-5,517;-1,376
"speak";0,373;1,097;-2,772
"receive";0,621;-1,3;0,099
"product";0,074;3,599;-4,646
"pass";-6,575;-7,413;28,456
"million";-2,601;0,347;1,165
"federal";-8,328;-6,461;30,107
"comment";3,548;0;-3,697
"similar";-0,059;0,653;-0,301
"send";0,049;-0,577;0,274
"produce";0,373;2,911;-5,366
"material";-1,439;-0,04;2,054
"launch";9,297;-1,52;-3,697
"instagram";2,481;-0,207;-1,376
"concern";0,621;0,16;-1,459
"cnn";-2,116;0,653;0,49
"case";1,545;-5,047;0,885
"actor";2,481;-0,207;-1,376
"action";-5,985;0,039;5,405
"university";-1,22;7,247;-2,322
"tiktok";10,87;-1,879;-4,169
"support";-2,116;-2,95;10,222
"research";-0,477;7,351;-3,88
"recent";4,756;-5,517;0,006
"part";-1,654;2,911;-0,131
"election";-5,302;2,58;0,615
"easy";-1,061;13,139;-6,366
"bbc";2,481;-1,18;-0,301
"address";-2,576;0,773;0,615
