ai;50;63;36
video;91;27;13
image;23;17;37
generate;29;24;15
person;25;33;24
deepfakes;7;17;46
create;19;25;21
voice;3;6;5
content;18;33;11
law;2;2;49
deepfake;8;11;39
medium;16;27;18
sora;54;4;0
fake;10;26;9
year;10;8;29
real;11;15;4
openai;43;1;1
company;18;23;8
social;19;15;12
news;12;17;5
platform;9;16;18
state;3;7;16
report;10;9;19
tool;16;19;2
include;11;9;17
share;8;9;20
victim;3;5;28
technology;15;9;9
online;7;14;10
user;21;6;5
likeness;23;3;6
account;14;4;2
call;7;6;4
face;12;3;15
add;9;12;8
legislation;2;1;26
digital;3;13;11
find;3;9;10
copyright;13;1;8
woman;10;1;12
time;17;4;4
tech;3;13;6
intelligence;3;1;6
show;11;7;3
google;6;15;1
artificial;4;1;6
app;21;1;1
government;2;4;19
explicit;4;0;23
bill;1;0;20
public;10;7;4
post;13;5;3
work;9;8;4
school;2;0;17
feature;10;7;3
website;1;9;2
request;10;7;1
model;5;6;2
misinformation;2;13;1
human;2;3;1
friend;13;1;5
clip;15;2;1
site;0;17;0
photo;12;2;1
information;1;9;1
high;7;0;10
expert;4;11;4
child;2;1;15
release;14;1;3
realistic;5;4;3
day;12;5;2
month;0;7;10
harm;1;4;13
business;2;6;3
version;14;3;1
sign;2;0;9
sexually;0;0;18
long;5;4;5
group;3;6;5
generative;1;12;3
article;5;10;2
act;0;1;15
write;6;5;1
story;1;8;5
south;3;0;12
sexual;1;4;12
scam;9;5;0
respond;5;4;6
porn;1;2;12
issue;4;8;6
feel;10;2;2
claim;4;7;3
celebrity;9;7;1
study;0;10;2
sound;0;4;2
protect;1;1;12
prompt;10;4;2
police;0;1;6
parent;1;0;13
free;2;8;1
early;5;1;8
base;4;5;3
week;10;0;2
speak;5;5;1
receive;4;1;3
product;6;8;1
pass;1;0;15
million;2;5;6
federal;0;0;14
comment;8;4;1
similar;4;5;3
send;4;2;4
produce;5;6;0
material;3;4;7
launch;10;2;1
instagram;7;3;2
concern;4;3;1
cnn;2;5;5
case;6;0;5
actor;7;3;2
action;1;5;9
university;2;7;1
tiktok;11;2;1
support;2;1;9
research;2;6;0
recent;8;0;4
part;2;6;3
election;0;5;4
easy;3;10;0
bbc;7;2;3
address;1;4;4
ad;1;6;2
text;7;3;0
taylor;5;0;6
system;1;10;0
spread;1;12;0
speech;2;6;1
risk;0;7;1
reuters;0;1;4
protection;2;2;7
privacy;1;2;0
prevent;4;0;5
policy;1;5;3
ms;7;1;0
meta;5;5;1
learn;2;1;1
july;1;2;6
identity;4;2;5
harvey;6;4;0
hard;1;7;1
family;4;3;2
creation;2;0;10
ceo;3;9;1
world;4;6;1
watch;1;3;8
veo;4;8;0
trust;2;10;0
target;4;0;5
start;5;3;2
run;3;6;0
result;3;5;3
remove;1;3;7
pose;3;7;1
move;2;8;1
mordaunt;0;0;9
money;5;2;0
manipulate;3;4;3
kid;1;1;9
intimate;0;0;11
individual;1;5;3
increase;1;9;2
house;1;1;7
happen;1;1;2
grow;1;8;1
good;3;2;1
generator;8;0;1
form;8;0;3
fine;0;0;11
depict;5;0;5
creator;7;1;1
consent;0;0;11
clear;3;2;4
big;2;4;1
viral;6;1;3
team;3;3;0
student;1;0;8
service;3;5;1
security;1;8;2
require;2;1;6
replica;0;4;5
program;0;4;0
play;1;8;2
phone;2;2;3
offer;4;4;1
nude;0;3;7
musk;0;2;5
man;4;0;2
kind;4;1;5
job;1;6;1
give;2;3;4
generation;8;1;0
figure;6;1;3
fee;11;0;0
experience;4;1;5
end;0;6;3
data;2;2;2
crime;1;1;9
cameo;6;0;0
block;3;3;3
black;3;1;2
agency;4;2;3
age;1;4;5
