"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"1";2;5;6;6;6;6;6;6;18
"2";2;5;6;6;6;6;6;6;19
"3";2;5;6;6;6;6;6;6;19
"4";2;5;7;9;10;13;15;16;16
"5";2;5;7;9;10;13;15;17;17
"6";2;5;7;9;10;13;15;17;17
"7";2;5;7;9;10;13;15;17;17
"8";2;5;7;9;10;12;12;12;12
"9";2;5;7;9;10;13;15;17;17
"10";2;5;7;9;10;13;15;17;17
"11";2;5;6;6;6;6;6;6;18
"12";2;5;7;9;10;13;15;17;17
"13";2;5;6;6;6;6;6;6;19
"14";2;5;6;6;6;6;6;6;19
"15";2;5;6;6;6;6;6;6;18
"16";2;5;7;9;10;13;15;16;16
"17";2;5;7;9;10;12;12;12;12
"18";2;5;7;9;10;13;15;16;16
"19";2;5;6;6;6;6;6;6;18
"20";2;5;7;8;8;8;8;8;8
"21";2;5;7;9;10;13;15;17;17
"22";2;5;7;9;10;13;15;17;17
"23";2;5;7;9;10;13;15;16;16
"24";2;5;7;9;10;12;12;12;12
"25";2;5;7;9;10;13;15;17;17
"26";2;5;6;6;6;6;6;6;18
"27";2;5;6;6;6;6;6;6;18
"28";2;5;6;6;6;6;6;6;18
"29";2;5;6;6;6;6;6;6;18
"30";2;5;6;6;6;6;6;6;18
"31";2;5;6;6;6;6;6;6;19
"32";2;5;6;6;6;6;6;6;18
"33";2;5;7;9;10;13;15;17;17
"34";2;5;6;6;6;6;6;6;18
"35";2;5;6;6;6;6;6;6;18
"36";2;5;6;6;6;6;6;6;18
"37";2;5;6;6;6;6;6;6;18
"38";2;5;6;6;6;6;6;6;18
"39";2;5;6;6;6;6;6;6;18
"40";2;5;6;6;6;6;6;6;18
"41";2;5;6;6;6;6;6;6;19
"42";2;5;6;6;6;6;6;6;19
"43";2;5;6;6;6;6;6;6;19
"44";2;5;6;6;6;6;6;6;18
"45";3;3;3;3;3;3;3;3;3
"46";2;5;7;9;10;13;15;17;17
"47";2;5;7;9;10;13;15;16;16
"48";2;5;6;6;6;6;6;6;18
"49";2;5;6;6;6;6;6;6;18
"50";2;5;6;6;6;6;6;6;18
"51";2;5;6;6;6;6;6;6;19
"52";2;5;6;6;6;6;6;6;18
"53";2;5;6;6;6;6;6;6;18
"54";2;5;6;6;6;6;6;6;18
"55";2;5;6;6;6;6;6;6;18
"56";2;5;6;6;6;6;6;6;18
"57";2;5;6;6;6;6;6;6;18
"58";2;5;6;6;6;6;6;6;18
"59";2;5;6;6;6;6;6;6;18
"60";2;5;6;6;6;6;6;6;18
"61";2;5;6;6;6;6;6;6;18
"62";2;5;6;6;6;6;6;6;18
"63";2;5;7;9;10;13;15;17;17
"64";2;5;7;9;10;13;15;17;17
"65";2;5;7;9;10;13;15;16;16
"66";2;5;7;9;10;13;15;17;17
"67";2;5;7;9;10;13;15;17;17
"68";2;5;7;9;10;12;12;12;12
"69";2;5;7;9;10;13;15;16;16
"70";2;5;7;9;10;12;12;12;12
"71";2;5;7;9;10;12;12;12;12
"72";2;5;7;9;10;12;12;12;12
"73";2;5;7;9;10;12;12;12;12
"74";2;5;7;9;10;12;12;12;12
"75";2;5;7;9;10;12;12;12;12
"76";2;5;7;9;10;12;12;12;12
"77";2;5;7;9;10;12;12;12;12
"78";2;5;7;9;10;12;12;12;12
"79";2;5;7;9;10;12;12;12;12
"80";2;5;7;9;10;12;12;12;12
"81";2;5;7;9;10;12;12;12;12
"82";2;5;7;9;10;12;12;12;12
"83";2;5;7;9;10;12;12;12;12
"84";2;5;7;9;10;13;15;17;17
"85";2;5;7;9;10;12;12;12;12
"86";2;5;7;9;10;12;12;12;12
"87";2;5;7;9;10;12;12;12;12
"88";2;5;7;9;10;13;15;17;17
"89";2;5;7;9;10;12;12;12;12
"90";2;5;7;9;10;12;12;12;12
"91";2;5;7;9;10;12;12;12;12
"92";2;5;7;9;10;12;12;12;12
"93";2;5;7;9;10;12;12;12;12
"94";2;5;7;9;10;12;12;12;12
"95";2;5;7;9;10;13;15;17;17
"96";2;5;7;9;10;12;12;12;12
"97";2;5;7;9;10;12;12;12;12
"98";2;5;7;9;10;12;12;12;12
"99";2;5;7;9;10;13;15;17;17
"100";2;5;7;9;10;12;12;12;12
"101";2;5;7;9;10;12;12;12;12
"102";2;5;7;9;10;12;12;12;12
"103";2;5;7;9;10;12;12;12;12
"104";2;5;7;9;10;12;12;12;12
"105";2;5;7;9;10;12;12;12;12
"106";2;5;7;9;10;12;12;12;12
"107";2;5;7;9;10;12;12;12;12
"108";2;5;7;9;10;12;12;12;12
"109";2;5;7;9;10;12;12;12;12
"110";2;5;7;9;10;12;12;12;12
"111";2;5;6;6;6;6;6;6;18
"112";2;5;6;6;6;6;6;6;18
"113";2;5;6;6;6;6;6;6;18
"114";2;5;7;9;10;12;12;12;12
"115";2;5;6;6;6;6;6;6;18
"116";2;5;7;9;10;12;12;12;12
"117";2;5;6;6;6;6;6;6;18
"118";2;5;7;9;10;12;12;12;12
"119";2;5;7;9;10;12;12;12;12
"120";2;5;7;9;10;12;12;12;12
"121";2;5;7;9;10;13;14;14;14
"122";2;5;7;9;10;12;12;12;12
"123";2;5;7;9;10;12;12;12;12
"124";2;5;6;6;6;6;6;6;18
"125";2;5;7;9;10;13;15;17;17
"126";2;5;7;9;10;13;15;17;17
"127";2;5;6;6;6;6;6;6;18
"128";2;5;6;6;6;6;6;6;18
"129";2;5;6;6;6;6;6;6;18
"130";2;5;6;6;6;6;6;6;18
"131";2;5;6;6;6;6;6;6;18
