"";"V1"
"1";3
"2";0
"3";0
"4";0
"5";2
"6";2
"7";2
"8";1
"9";2
"10";2
"11";3
"12";2
"13";0
"14";0
"15";3
"16";0
"17";1
"18";0
"19";3
"20";0
"21";2
"22";2
"23";0
"24";1
"25";2
"26";3
"27";3
"28";3
"29";3
"30";3
"31";0
"32";3
"33";2
"34";3
"35";3
"36";3
"37";3
"38";3
"39";3
"40";3
"41";0
"42";0
"43";0
"44";3
"45";0
"46";2
"47";0
"48";3
"49";3
"50";3
"51";0
"52";3
"53";3
"54";3
"55";3
"56";3
"57";3
"58";3
"59";3
"60";3
"61";3
"62";3
"63";2
"64";2
"65";0
"66";2
"67";2
"68";1
"69";0
"70";1
"71";1
"72";1
"73";1
"74";1
"75";1
"76";1
"77";1
"78";1
"79";1
"80";1
"81";1
"82";1
"83";1
"84";2
"85";1
"86";1
"87";1
"88";2
"89";1
"90";1
"91";1
"92";1
"93";1
"94";1
"95";2
"96";1
"97";1
"98";1
"99";2
"100";1
"101";1
"102";1
"103";1
"104";1
"105";1
"106";1
"107";1
"108";1
"109";1
"110";1
"111";3
"112";3
"113";3
"114";1
"115";3
"116";1
"117";3
"118";1
"119";1
"120";1
"121";0
"122";1
"123";1
"124";3
"125";2
"126";2
"127";3
"128";3
"129";3
"130";3
"131";3
"132";2
"133";1
"134";1
"135";1
"136";0
"137";2
"138";1
"139";0
"140";2
"141";0
"142";1
"143";2
"144";0
"145";0
"146";0
"147";0
"148";0
"149";0
"150";2
"151";0
"152";2
"153";0
"154";0
"155";0
"156";0
"157";1
"158";0
"159";1
"160";0
"161";0
"162";0
"163";2
"164";2
"165";2
"166";2
"167";2
"168";0
"169";3
"170";3
"171";3
"172";3
"173";3
"174";3
"175";3
"176";3
"177";3
"178";3
"179";3
"180";1
"181";2
"182";1
"183";0
"184";0
"185";3
"186";3
"187";3
"188";0
"189";2
"190";2
"191";0
"192";2
"193";3
"194";3
"195";3
"196";3
"197";3
"198";2
"199";3
"200";2
"201";3
"202";3
"203";3
"204";3
"205";3
"206";3
"207";0
"208";3
"209";3
"210";3
"211";1
"212";1
"213";1
"214";1
"215";0
"216";0
"217";0
"218";1
"219";1
"220";1
"221";0
"222";0
"223";2
"224";0
"225";0
"226";1
"227";0
"228";0
"229";1
"230";3
"231";1
"232";1
"233";0
"234";3
"235";0
"236";1
"237";3
"238";3
"239";1
"240";2
"241";1
"242";1
"243";1
"244";2
"245";1
"246";1
"247";0
"248";2
"249";1
"250";1
"251";1
"252";1
"253";1
"254";1
"255";1
"256";1
"257";1
"258";1
"259";1
"260";1
"261";1
"262";1
"263";1
"264";1
"265";3
"266";3
"267";1
"268";2
"269";2
"270";2
"271";3
"272";1
"273";0
"274";2
"275";0
"276";2
"277";2
"278";2
"279";2
"280";2
"281";0
"282";0
"283";2
"284";2
"285";2
"286";2
"287";2
"288";2
"289";2
"290";2
"291";2
"292";2
"293";2
"294";2
"295";2
"296";2
"297";2
"298";0
"299";0
"300";2
"301";2
"302";2
"303";2
"304";2
"305";1
"306";1
"307";1
"308";1
"309";2
"310";3
"311";0
"312";3
"313";1
"314";2
"315";1
"316";1
"317";1
"318";3
"319";1
"320";3
"321";1
"322";2
"323";3
"324";3
"325";3
"326";3
"327";3
"328";3
"329";2
"330";3
"331";2
"332";1
"333";1
"334";2
"335";2
"336";2
"337";2
"338";2
"339";1
"340";3
"341";3
"342";2
"343";3
"344";0
"345";3
"346";3
"347";3
"348";2
"349";2
"350";3
"351";3
"352";3
"353";3
"354";3
"355";3
"356";3
"357";3
"358";3
"359";1
"360";2
"361";3
"362";3
"363";2
"364";1
"365";1
"366";1
"367";3
"368";3
"369";2
"370";2
"371";3
"372";3
"373";1
"374";3
"375";3
"376";3
"377";3
"378";3
"379";3
"380";3
"381";3
"382";3
"383";3
"384";3
"385";3
"386";3
"387";3
"388";3
"389";3
"390";3
"391";0
"392";3
"393";2
"394";1
"395";2
"396";3
"397";3
"398";3
"399";3
"400";2
"401";2
"402";2
"403";2
"404";2
"405";2
"406";2
"407";2
"408";2
"409";2
"410";2
"411";2
"412";2
"413";2
"414";2
"415";1
"416";0
"417";2
"418";1
"419";2
"420";2
"421";0
"422";1
"423";2
"424";2
"425";2
"426";1
"427";2
"428";2
"429";1
"430";1
"431";2
"432";2
"433";2
"434";2
"435";0
"436";2
"437";2
"438";1
"439";1
"440";1
"441";1
"442";2
"443";2
"444";2
"445";2
"446";2
"447";2
"448";2
"449";2
"450";1
"451";2
"452";2
"453";0
"454";0
"455";0
"456";0
"457";0
"458";0
"459";0
"460";0
"461";0
"462";0
"463";0
"464";0
"465";1
"466";0
"467";0
"468";0
"469";0
"470";0
"471";0
"472";0
"473";0
"474";0
"475";0
"476";0
"477";0
"478";0
"479";0
"480";0
"481";0
"482";0
"483";0
"484";0
"485";0
"486";0
"487";0
"488";2
"489";1
"490";0
"491";0
"492";0
"493";1
"494";0
"495";0
"496";2
"497";2
"498";3
"499";3
"500";1
"501";1
"502";1
"503";2
"504";1
"505";1
"506";1
"507";2
"508";2
"509";2
"510";2
"511";1
"512";3
"513";3
"514";2
"515";2
"516";3
"517";3
"518";3
"519";3
"520";3
"521";2
"522";2
"523";3
"524";3
"525";0
"526";0
"527";0
"528";0
"529";0
"530";3
"531";3
"532";1
"533";1
"534";1
"535";1
"536";1
"537";1
"538";1
"539";1
"540";1
"541";1
"542";0
"543";2
"544";1
"545";1
"546";1
"547";1
"548";1
"549";1
"550";1
"551";1
"552";1
"553";1
"554";0
"555";0
"556";0
"557";0
"558";1
"559";2
"560";1
"561";1
"562";1
"563";2
"564";2
"565";1
"566";1
"567";1
"568";1
"569";3
"570";1
"571";1
"572";1
"573";2
"574";3
"575";3
"576";3
"577";3
"578";3
"579";3
"580";3
"581";3
"582";2
"583";3
"584";0
"585";2
"586";2
"587";2
"588";0
"589";3
"590";2
"591";2
"592";3
"593";0
"594";2
"595";0
"596";0
"597";2
"598";0
"599";1
"600";2
"601";1
"602";2
"603";2
"604";2
"605";3
"606";2
"607";2
"608";2
"609";2
"610";0
"611";1
"612";2
"613";1
"614";1
"615";0
"616";0
"617";1
"618";1
"619";1
"620";1
"621";1
"622";0
"623";1
"624";0
"625";1
"626";1
"627";0
"628";0
"629";0
"630";0
"631";0
"632";0
"633";0
"634";0
"635";0
"636";0
"637";2
"638";0
"639";0
"640";1
"641";1
"642";1
"643";1
"644";1
"645";1
"646";0
"647";1
"648";1
"649";1
"650";3
"651";3
"652";0
"653";3
"654";3
"655";3
"656";3
"657";3
"658";3
"659";3
"660";3
"661";3
"662";3
"663";1
"664";1
"665";1
"666";1
"667";1
"668";1
"669";0
"670";1
"671";1
