"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"3";"***";"";""
"**";"classe";"1";"**";"";""
"****";"194";"529";"36.67";"****";""
"54";" 58";" 93.10";"89.321";"sora";"3.356251e-21"
"91";"131";" 69.47";"80.624";"video";"2.730692e-19"
"43";" 45";" 95.56";"73.428";"openai";"1.043775e-17"
"21";" 23";" 91.30";"30.902";"app";"2.714362e-08"
"11";" 11";"100.00";"19.398";"fee";"1.061064e-05"
"23";" 32";" 71.88";"18.174";"likeness";"2.016169e-05"
"15";" 18";" 83.33";"17.469";"clip";"2.920290e-05"
" 9";"  9";"100.00";"15.810";"character";"7.002325e-05"
" 8";"  8";"100.00";"14.027";"altman";"1.802471e-04"
"14";" 18";" 77.78";"13.557";"release";"2.314507e-04"
"14";" 18";" 77.78";"13.557";"version";"2.314507e-04"
"12";" 15";" 80.00";"12.479";"photo";"4.116365e-04"
"21";" 32";" 65.62";"12.293";"user";"4.545618e-04"
" 7";"  7";"100.00";"12.250";"mike";"4.653271e-04"
" 7";"  7";"100.00";"12.250";"imagine";"4.653271e-04"
"10";" 12";" 83.33";"11.511";"week";"6.919107e-04"
"17";" 25";" 68.00";"11.088";"time";"8.686991e-04"
"11";" 14";" 78.57";"10.870";"tiktok";"9.772413e-04"
" 8";"  9";" 88.89";"10.749";"generator";"1.043392e-03"
" 8";"  9";" 88.89";"10.749";"generation";"1.043392e-03"
" 8";"  9";" 88.89";"10.749";"johansson";"1.043392e-03"
" 6";"  6";"100.00";"10.480";"cameo";"1.206942e-03"
" 6";"  6";"100.00";"10.480";"dress";"1.206942e-03"
" 6";"  6";"100.00";"10.480";"babydoll";"1.206942e-03"
" 6";"  6";"100.00";"10.480";"archi";"1.206942e-03"
" 6";"  6";"100.00";"10.480";"pay";"1.206942e-03"
" 6";"  6";"100.00";"10.480";"eli";"1.206942e-03"
"14";" 20";" 70.00";" 9.941";"account";"1.616460e-03"
"10";" 13";" 76.92";" 9.297";"launch";"2.295149e-03"
" 7";"  8";" 87.50";" 9.036";"ms";"2.647563e-03"
" 7";"  8";" 87.50";" 9.036";"short";"2.647563e-03"
" 7";"  8";" 87.50";" 9.036";"youtube";"2.647563e-03"
" 7";"  8";" 87.50";" 9.036";"chatgpt";"2.647563e-03"
" 5";"  5";"100.00";" 8.716";"upload";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"sora_s";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"slop";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"mrbeast";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"york";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"opt";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"invite";"3.153591e-03"
" 5";"  5";"100.00";" 8.716";"fully";"3.153591e-03"
"13";" 19";" 68.42";" 8.553";"friend";"3.448768e-03"
"10";" 14";" 71.43";" 7.480";"feel";"6.239442e-03"
" 6";"  7";" 85.71";" 7.346";"artist";"6.719863e-03"
" 6";"  7";" 85.71";" 7.346";"star";"6.719863e-03"
" 4";"  4";"100.00";" 6.960";"return";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"spend";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"screen";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"park";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"head";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"fan";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"weatherbed";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"talent";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"spongebob";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"simple";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"sam";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"partner";"8.335935e-03"
" 4";"  4";"100.00";" 6.960";"mass";"8.335935e-03"
" 7";"  9";" 77.78";" 6.661";"creator";"9.854094e-03"
" 8";" 11";" 72.73";" 6.288";"form";"1.215729e-02"
"13";" 21";" 61.90";" 5.995";"post";"1.434837e-02"
"12";" 19";" 63.16";" 5.953";"day";"1.469619e-02"
" 5";"  6";" 83.33";" 5.689";"quality";"1.706771e-02"
" 5";"  6";" 83.33";" 5.689";"completely";"1.706771e-02"
" 5";"  6";" 83.33";" 5.689";"grok";"1.706771e-02"
" 5";"  6";" 83.33";" 5.689";"circulate";"1.706771e-02"
" 3";"  3";"100.00";" 5.210";"nicole";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"life";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"style";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"scarlett";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"resource";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"prepare";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"kanye";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"verge";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"uncensored";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"spin";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"sahai";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"roll";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"rip";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"remark";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"protester";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"power";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"partnership";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"los";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"graphic";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"fun";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"follower";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"dream";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"david";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"dance";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"creativity";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"camera";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"antisemitic";"2.245787e-02"
" 3";"  3";"100.00";" 5.210";"angeles";"2.245787e-02"
" 6";"  8";" 75.00";" 5.138";"steal";"2.340935e-02"
" 6";"  8";" 75.00";" 5.138";"smith";"2.340935e-02"
" 6";"  8";" 75.00";" 5.138";"minute";"2.340935e-02"
" 6";"  8";" 75.00";" 5.138";"place";"2.340935e-02"
"13";" 22";" 59.09";" 4.967";"copyright";"2.582987e-02"
" 7";" 10";" 70.00";" 4.875";"text";"2.725344e-02"
" 8";" 12";" 66.67";" 4.756";"recent";"2.919086e-02"
"10";" 16";" 62.50";" 4.739";"prompt";"2.948894e-02"
" 9";" 14";" 64.29";" 4.721";"scam";"2.979142e-02"
" 4";"  5";" 80.00";" 4.080";"rise";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"record";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"picture";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"war";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"scroll";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"late";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"footage";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"cost";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"author";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"san";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"reporter";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"protest";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"home";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"francisco";"4.338958e-02"
" 4";"  5";" 80.00";" 4.080";"choose";"4.338958e-02"
" 5";"  7";" 71.43";" 3.690";"money";"5.474761e-02"
" 5";"  7";" 71.43";" 3.690";"view";"5.474761e-02"
" 5";"  7";" 71.43";" 3.690";"safeguard";"5.474761e-02"
" 5";"  7";" 71.43";" 3.690";"promote";"5.474761e-02"
" 5";"  7";" 71.43";" 3.690";"apps";"5.474761e-02"
" 8";" 13";" 61.54";" 3.548";"comment";"5.961002e-02"
" 6";"  9";" 66.67";" 3.547";"access";"5.966540e-02"
"10";" 18";" 55.56";" 2.861";"request";"9.075952e-02"
" 3";"  4";" 75.00";" 2.549";"scammers";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"small";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"test";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"scene";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"personal";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"option";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"studio";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"multiple";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"moment";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"holder";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"guardrail";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"client";"1.103388e-01"
" 3";"  4";" 75.00";" 2.549";"begin";"1.103388e-01"
" 7";" 12";" 58.33";" 2.481";"instagram";"1.152641e-01"
" 7";" 12";" 58.33";" 2.481";"actor";"1.152641e-01"
" 7";" 12";" 58.33";" 2.481";"bbc";"1.152641e-01"
" 6";" 10";" 60.00";" 2.388";"harvey";"1.222537e-01"
" 6";" 10";" 60.00";" 2.388";"viral";"1.222537e-01"
" 6";" 10";" 60.00";" 2.388";"figure";"1.222537e-01"
" 4";"  6";" 66.67";" 2.351";"man";"1.252125e-01"
" 4";"  6";" 66.67";" 2.351";"potential";"1.252125e-01"
" 4";"  6";" 66.67";" 2.351";"care";"1.252125e-01"
" 5";"  8";" 62.50";" 2.333";"threat";"1.266545e-01"
"11";" 21";" 52.38";" 2.323";"show";"1.274443e-01"
" 9";" 17";" 52.94";" 2.002";"celebrity";"1.571325e-01"
"*****";"*";"*";"*";"*";"*"
"16";"17";" 94.12";"24.957";"2";"5.861163e-07"
" 9";"10";" 90.00";"12.481";"few";"4.111211e-04"
" 5";" 5";"100.00";" 8.716";"sent";"3.153591e-03"
" 5";" 5";"100.00";" 8.716";"took";"3.153591e-03"
"27";"48";" 56.25";" 8.712";"i";"3.161484e-03"
" 8";"10";" 80.00";" 8.239";"off";"4.100121e-03"
" 6";" 7";" 85.71";" 7.346";"second";"6.719863e-03"
"13";"20";" 65.00";" 7.182";"only";"7.364574e-03"
"39";"78";" 50.00";" 6.997";"from";"8.165117e-03"
"14";"23";" 60.87";" 6.062";"appear";"1.381316e-02"
"10";"15";" 66.67";" 5.980";"me";"1.446816e-02"
"24";"45";" 53.33";" 5.878";"like";"1.532803e-02"
" 3";" 3";"100.00";" 5.210";"please";"2.245787e-02"
" 3";" 3";"100.00";" 5.210";"elsewhere";"2.245787e-02"
" 3";" 3";"100.00";" 5.210";"beyond";"2.245787e-02"
" 3";" 3";"100.00";" 5.210";"despite";"2.245787e-02"
"20";"37";" 54.05";" 5.175";"had";"2.291408e-02"
" 6";" 8";" 75.00";" 5.138";"example";"2.340935e-02"
"12";"20";" 60.00";" 4.870";"us";"2.732347e-02"
