"";"classe 1";"classe 2";"classe 3"
"ai";1;0;1
"video";0;1;1
"image";1;1;0,001
"generate";0,273;0,412;1
"person";1;0,049;1
"deepfakes";1;1;0
"create";1;0,165;1
"voice";1;0,331;0,783
"content";1;0;1
"law";1;1;0
"deepfake";1;1;0
"medium";1;0,017;1
"sora";0;1;1
"fake";1;0;1
"year";1;1;0
"real";1;0,021;1
"openai";0;1;1
"company";0,992;0,011;1
"social";0,495;0,805;1
"news";1;0,013;1
"platform";1;0,359;0,163
"state";1;1;0,001
"report";1;1;0,016
"tool";0,39;0,006;1
"include";1;1;0,066
"share";1;1;0,003
"victim";1;1;0
"technology";0,28;1;1
"online";1;0,079;1
"user";0;1;1
"likeness";0;1;1
"account";0,002;1;1
"call";0,695;0,697;1
"face";0,697;1;0,033
"add";1;0,214;1
"legislation";1;1;0
"digital";1;0,048;0,337
"find";1;0,305;0,179
"copyright";0,026;1;0,679
"woman";0,489;1;0,037
"time";0,001;1;1
"tech";1;0,004;1
"intelligence";1;1;0,059
"show";0,127;0,814;1
"google";1;0;1
"artificial";1;1;0,111
"app";0;1;1
"government";1;1;0
"explicit";1;1;0
"bill";1;1;0
"public";0,288;0,814;1
"post";0,014;1;1
"work";0,548;0,473;1
"school";1;1;0
"feature";0,207;0,693;1
"website";1;0,001;1
"request";0,091;0,462;1
"model";0,892;0,232;1
"misinformation";1;0;1
"human";1;0,312;1
"friend";0,003;1;1
"clip";0;1;1
"site";1;0;1
"photo";0;1;1
"information";1;0;1
"high";0,695;1;0,018
"expert";1;0,01;1
"child";1;1;0
"release";0;1;1
"realistic";0,717;0,86;1
"day";0,015;1;1
"month";1;0,357;0,018
"harm";1;1;0
"business";1;0,088;1
"version";0;1;1
"sign";1;1;0
"sexually";1;1;0
"long";1;1;0,783
"group";1;0,331;0,783
"generative";1;0;1
"article";1;0,012;1
"act";1;1;0
"write";0,333;0,419;1
"story";1;0,032;0,783
"south";1;1;0
"sexual";1;1;0,001
"scam";0,03;0,699;1
"respond";1;1;0,519
"porn";1;1;0
"issue";1;0,21;0,926
"feel";0,006;1;1
"claim";1;0,119;1
"celebrity";0,157;0,357;1
"study";1;0;1
"sound";1;0,057;0,958
"protect";1;1;0
"prompt";0,029;1;1
"police";1;1;0,002
"parent";1;1;0
"free";1;0,002;1
"early";1;1;0,044
"base";1;0,419;1
"week";0,001;1;1
"speak";0,541;0,295;1
"receive";0,431;1;0,753
"product";0,786;0,058;1
"pass";1;1;0
"million";1;0,556;0,28
"federal";1;1;0
"comment";0,06;1;1
"similar";1;0,419;1
"send";0,826;1;0,6
"produce";0,541;0,088;1
"material";1;1;0,152
"launch";0,002;1;1
"instagram";0,115;1;1
"concern";0,431;0,689;1
"cnn";1;0,419;0,484
"case";0,214;1;0,347
"actor";0,115;1;1
"action";1;0,843;0,02
"university";1;0,007;1
"tiktok";0,001;1;1
"support";1;1;0,001
"research";1;0,007;1
"recent";0,029;1;0,94
"part";1;0,088;1
"election";1;0,108;0,433
"easy";1;0;1
"bbc";0,115;1;1
"address";1;0,379;0,433
"ad";1;0,02;1
"text";0,027;1;1
"taylor";0,541;1;0,111
"system";1;0;1
"spread";1;0;1
"speech";1;0,02;1
"risk";1;0;1
"reuters";1;1;0,022
"protection";1;1;0,025
"privacy";1;0,18;1
"prevent";0,626;1;0,133
"policy";1;0,108;0,948
"ms";0,003;1;1
"meta";0,541;0,295;1
"learn";0,579;1;1
"july";1;1;0,026
"identity";1;1;0,347
"harvey";0,122;0,535;1
"hard";1;0,002;1
"family";0,626;0,879;1
"creation";1;1;0
"ceo";1;0,003;1
"world";1;0,088;1
"watch";1;1;0,01
"veo";1;0,007;1
"trust";1;0;1
"target";0,626;1;0,133
"start";0,377;1;1
"run";1;0,02;1
"result";1;0,295;1
"remove";1;1;0,025
"pose";1;0,018;1
"move";1;0,002;1
"mordaunt";1;1;0
"money";0,055;1;1
"manipulate";1;0,535;1
"kid";1;1;0
"intimate";1;1;0
"individual";1;0,108;0,948
"increase";1;0,001;1
"house";1;1;0,003
"happen";1;1;0,448
"grow";1;0,001;1
"good";0,496;0,901;1
"generator";0,001;1;1
"form";0,012;1;1
"fine";1;1;0
"depict";0,377;1;0,228
"creator";0,01;1;1
"consent";1;1;0
"clear";1;1;0,433
"big";1;0,132;1
"viral";0,122;1;1
"team";0,496;0,312;1
"student";1;1;0
"service";1;0,108;1
"security";1;0,002;1
"require";1;1;0,026
"replica";1;0,379;0,133
"program";1;0,003;1
"play";1;0,002;1
"phone";1;1;0,549
"offer";0,626;0,379;1
"nude";1;1;0,01
"musk";1;1;0,026
"man";0,125;1;0,958
"kind";0,826;1;0,228
"job";1;0,007;1
"give";1;0,879;0,433
"generation";0,001;1;1
"figure";0,122;1;1
"fee";0;1;1
"experience";0,826;1;0,228
"end";1;0,02;0,948
"data";1;0,901;0,958
"crime";1;1;0
"cameo";0,001;1;1
"block";1;0,879;0,948
"black";0,496;1;0,958
"agency";0,626;1;0,948
"age";1;0,535;0,228
"access";0,06;1;1
"warn";1;0,379;0,948
"unite";1;0,495;1
"trump";1;1;0,003
"top";1;0,379;1
"teenager";1;0;1
"swift";0,431;1;0,281
"source";0,626;0,379;1
"short";0,003;1;1
"quality";0,017;1;1
"president";1;1;0
"piece";1;0,052;0,753
"numb";1;0,002;1
"note";1;0,02;1
"network";0,236;1;1
"mislead";1;0;1
"message";1;0,312;0,958
"lead";0,626;1;0,948
"johansson";0,001;1;1
"involve";1;0,535;0,228
"interview";1;0,02;1
"industry";1;1;0,352
"impersonate";0,579;1;1
"getty";1;1;0
"false";1;0,007;1
"email";0,579;0,41;1
"dress";0,001;1;1
"consensual";1;1;0
"clothe";0,579;0,41;1
"challenge";1;0;1
"win";1;1;0,433
"view";0,055;1;1
"term";1;0,312;0,958
"steal";0,023;1;1
"standard";1;0,002;1
"smith";0,023;1;1
"set";1;1;0,549
"recently";1;0,052;1
"reach";1;0,242;1
"put";0,431;0,689;1
"political";1;0;1
"minute";0,023;1;1
"mike";0;1;1
"measure";1;1;0,001
"large";1;0;1
"korea";1;1;0
"illegal";1;1;0,001
"hold";1;1;0,026
"exist";1;0,689;0,066
"customer";0,496;0,312;1
"congress";1;1;0,001
"clone";0,28;0,93;1
"character";0;1;1
"build";0,496;0,901;1
"ban";1;0,901;0,07
"back";1;0;1
"babydoll";0,001;1;1
"archi";0,001;1;1
"al";1;0;1
"advance";1;1;0,012
"youtube";0,003;1;1
"white";0,258;1;0,549
"vermillio";1;0,02;1
"uk";1;0,689;0,066
"train";0,28;0,93;1
"threat";0,127;0,689;1
"thing";1;0,662;0,712
"teen";1;0,057;1
"synthetic";1;0,005;1
"september";1;1;0,184
"search";0,961;0,242;1
"safe";1;0,901;0,352
"provide";0,877;1;0,184
"professor";1;0,02;1
"prison";1;1;0
"pornographic";1;1;0,002
"plan";1;1;0,352
"place";0,023;1;1
"pay";0,001;1;1
"party";1;0,41;1
"organization";1;0,662;0,712
"office";1;1;0,067
"national";1;0,901;0,352
"minister";1;0,901;0,07
"mimic";0,877;0,159;1
"lose";1;0,132;1
"limit";0,733;0,495;1
"legal";1;0,901;0,07
"introduce";1;1;0,007
"internet";1;0,132;0,549
"imagine";0;1;1
"hour";0,496;1;0,958
"harmful";1;0,689;0,066
"great";0,496;0,901;1
"firm";1;0;1
"fear";0,496;0,901;1
"fast";1;0,005;1
"fall";1;0,005;1
"fact";1;0,002;1
"elon";1;1;0,022
"deal";1;0,052;1
"danger";1;0,901;0,958
"consumer";1;0,159;0,712
