*FUENTE_REUTERS;3;12;32
*11-07-2025;1;6;2
*18-12-2024;2;4;15
*23-04-2025;0;1;5
*26-09-2025;0;1;10
*FUENTE_NYT;38;7;0
*29-06-2025;4;3;0
*02-10-2025;34;4;0
*FUENTE_BBC;29;21;44
*19-08-2025;14;13;17
*19-09-2025;2;4;11
*23-07-2025;0;2;12
*22-07-2025;13;2;4
*FUENTE_WSJ;23;5;3
*12-10-2025;23;5;3
*FUENTE_WP;1;26;0
*17-12-2025;1;26;0
*FUENTE_CNN;18;33;54
*08-04-2025;12;10;11
*08-02-2025;5;7;22
*19-05-2025;1;2;21
*30-01-2025;0;14;0
*FUENTE_aljazeera;14;28;2
*26-06-2025;11;25;0
*10-06-2025;3;3;2
*FUENTE_theguardian;31;13;11
*13-02-2025;7;7;2
*27-06-2025;0;2;9
*10-04-2025;24;4;0
*FUENTE_apnews;9;17;13
*12-10-2024;7;0;1
*04-03-2025;0;1;8
*28-07-2025;2;16;4
*FUENTE_theweek;11;1;0
*DATE;11;1;0
09-10-2025;11;1;0
*FUENTE_calmatters;0;1;0
*07-01-2025;0;1;0
*FUENTE_businessinsider;9;0;12
*2025;9;0;12
*FUENTE_wired;8;0;0
*29-09-2025;8;0;0
