the;142;123;137
to;113;120;127
of;126;101;115
a;116;90;93
and;107;97;89
in;80;66;88
that;64;61;73
for;58;46;50
it;46;35;47
is;39;35;52
with;49;41;39
on;43;43;38
said;38;52;36
s;40;31;31
are;27;39;26
or;31;27;35
by;32;27;31
as;37;29;22
was;32;18;24
an;29;26;28
from;39;21;18
can;27;27;18
have;26;32;23
they;28;24;21
this;25;17;31
be;17;24;29
not;17;20;29
make;26;29;22
their;25;18;28
has;28;17;21
but;29;19;12
she;19;8;26
which;17;18;28
i;27;13;8
had;20;9;8
about;17;17;16
he;15;17;11
at;12;22;17
we;12;14;7
also;17;17;26
new;21;7;24
her;17;5;22
been;14;16;14
you;17;13;4
more;19;14;9
up;13;16;12
one;20;14;12
were;18;9;9
like;24;15;6
if;15;8;17
who;9;10;13
its;19;10;11
them;9;12;16
would;12;6;20
used;14;8;10
such;11;9;18
no;14;7;14
will;13;7;12
could;15;7;9
using;16;6;10
out;17;10;6
use;13;8;8
after;13;6;10
there;12;9;9
when;11;7;16
take;7;11;14
how;11;8;7
these;2;20;7
other;17;13;4
your;11;6;4
tell;5;10;8
all;9;9;7
what;12;5;7
some;14;8;4
our;8;6;3
my;10;6;2
now;9;7;10
it_s;4;10;10
his;10;4;6
do;10;5;6
right;6;2;14
last;9;3;15
being;7;7;10
may;5;11;5
according;8;7;9
way;8;9;3
appear;14;7;2
first;6;0;17
x;8;4;4
so;4;4;8
over;7;5;5
down;6;5;9
want;9;5;5
own;5;6;8
only;13;3;4
most;7;9;6
into;10;5;4
us;12;0;8
than;9;7;4
says;3;7;6
against;2;7;10
me;10;2;3
even;7;5;3
before;7;4;7
any;4;3;7
another;8;3;6
say;7;6;4
did;4;5;4
because;6;6;4
without;3;1;13
where;8;5;4
those;3;4;9
should;3;2;10
need;4;3;12
name;8;5;2
already;6;2;6
while;5;1;8
know;3;6;6
2;16;1;0
behind;6;4;4
whether;0;5;7
well;6;4;2
see;4;4;4
look;3;6;3
just;6;5;1
2024;0;3;8
through;6;4;2
someone;6;2;5
non;2;1;12
get;6;1;4
2025;5;2;2
two;5;4;4
still;7;3;4
seen;3;4;1
many;9;4;1
few;9;1;0
better;3;6;3
1;3;4;2
very;1;2;3
too;1;0;5
several;2;0;6
mean;2;4;2
help;3;2;5
during;2;5;3
don_t;2;9;1
come;2;5;6
believe;6;3;3
become;4;1;4
ask;4;1;1
we_re;3;2;4
under;2;2;6
then;3;2;2
off;8;0;2
both;2;4;3
3;5;6;1
10;5;3;1
000;4;4;3
u;0;4;4
once;4;2;2
often;3;1;5
much;3;1;3
anyone;2;3;3
allow;2;5;2
within;3;3;2
why;1;1;5
think;4;3;2
never;3;3;2
going;2;4;3
example;6;0;2
currently;4;4;2
yet;4;2;2
went;5;1;2
there_s;4;4;0
taken;0;2;2
something;4;2;1
since;2;3;0
might;1;4;2
far;4;1;2
best;3;2;0
around;3;0;4
4;2;1;3
second;6;1;0
saying;4;1;1
must;1;1;3
likely;1;1;4
different;3;3;0
contain;3;1;0
available;3;1;3
across;4;4;0
what_s;1;4;0
three;4;1;2
that_s;2;1;1
sent;5;0;0
next;2;1;0
known;3;3;1
given;2;1;3
doing;2;0;3
com;4;1;0
can_t;2;2;1
becoming;0;2;3
among;2;2;1
although;1;2;3
actually;1;2;3
uses;2;1;3
trying;1;3;1
though;3;1;0
same;4;0;1
possible;1;2;2
later;2;1;1
however;3;1;0
here_s;1;1;4
go;0;3;1
every;2;3;1
enough;1;2;0
between;1;3;0
became;2;0;4
able;2;1;2
2023;2;2;2
2022;0;3;2
you_re;1;2;1
we_ll;3;1;0
try;1;0;2
took;5;0;0
they_ve;2;1;2
they_re;1;2;1
sometimes;3;0;1
really;2;2;0
others;3;1;1
ones;1;4;0
nothing;2;2;1
let;4;0;1
i_m;1;3;1
himself;2;3;0
having;2;1;2
getting;0;2;1
following;2;0;1
five;1;0;3
ever;2;3;0
entirely;2;0;1
done;0;3;0
does;2;0;2
away;2;1;0
along;1;1;2
allows;4;1;0
500;1;2;0
22;1;1;3
via;1;2;1
together;2;1;1
themselves;2;0;2
sure;0;2;2
soon;2;1;0
shouldn_t;1;0;3
quite;0;2;1
please;3;0;0
old;2;2;0
nearly;0;3;1
lot;1;1;2
looking;2;0;2
least;0;1;3
instead;2;1;1
goes;1;1;1
former;1;2;1
especially;1;2;0
elsewhere;3;0;0
considering;0;0;4
comes;0;1;2
changes;1;0;3
cause;0;2;2
cannot;1;2;1
beyond;3;0;0
associated;1;0;2
aren_t;2;0;2
am;2;0;1
30;1;0;2
upon;0;0;3
until;1;1;1
serious;0;2;1
per;0;1;2
nine;1;2;0
got;2;0;1
everybody;0;0;3
else;1;2;0
each;1;1;1
didn_t;2;0;1
despite;3;0;0
appropriate;0;2;1
48;1;1;1
